genome	taxgroup	taxclade	genome_type	depth	lat	lon	cruise	station	date	ocean	location	siderophore	n_genomes	n_markers	n_msets	complete	contami	strain_het	genome_size	n_ambig_bp	n_scaffolds	n_contigs	N50_scaff	N50_contig	mean_scaff_len	mean_contig_len	longest_scaff	longest_contig	perc_gc	gc_stdev	code_dens	translation	n_genes	n0_markers	n1_markers	n2_markers	n3_markers	n4_markers	n5_markers
AG-673-O13	prochlorococcus	proHL1	sag	90	28.14	-158	GRADIENT	4	4/22/16	n_pacific	GRADIENT	0	18	730	228	44.67	0	0	778053	0	68	68	17482	17482	11441	11441	51150	51150	31.4	2.35	87.95	11	961	378	352	0	0	0	0
AG-673-P17	prochlorococcus	proHL1	sag	90	28.14	-158	GRADIENT	4	4/22/16	n_pacific	GRADIENT	0	18	730	228	41.52	0.11	100	648779	0	44	44	23303	23303	14744	14744	75644	75644	31.5	1.55	90.71	11	725	429	300	1	0	0	0
AG-676-J23	prochlorococcus	proHL1	sag	5	34.7	-158	GRADIENT	6	4/24/16	n_pacific	GRADIENT	0	18	730	228	55.76	0.22	0	926484	0	36	36	51213	51213	25735	25735	164354	164354	31.3	2.55	90.35	11	1030	278	451	1	0	0	0
AG-676-L21	prochlorococcus	proHL1	sag	5	34.7	-158	GRADIENT	6	4/24/16	n_pacific	GRADIENT	0	18	730	228	79.61	0.44	0	1366184	0	72	72	40225	40225	18974	18974	107876	107876	30.8	2.59	89.72	11	1598	166	563	1	0	0	0
AG-676-M04	prochlorococcus	proHL1	sag	5	34.7	-158	GRADIENT	6	4/24/16	n_pacific	GRADIENT	0	18	730	228	71.77	0	0	1270658	0	70	70	34880	34880	18152	18152	78639	78639	30.6	2.4	88.67	11	1534	191	539	0	0	0	0
AG-676-M23	prochlorococcus	proHL1	sag	5	34.7	-158	GRADIENT	6	4/24/16	n_pacific	GRADIENT	0	18	730	228	36.74	0.11	100	582872	0	56	56	15495	15495	10408	10408	60020	60020	30.9	3.5	90.3	11	678	456	273	1	0	0	0
AG-676-O21	prochlorococcus	proHL1	sag	5	34.7	-158	GRADIENT	6	4/24/16	n_pacific	GRADIENT	0	18	730	228	71.52	0.08	100	1225825	0	70	70	34846	34846	17511	17511	148648	148648	30.9	2.62	90.32	11	1447	193	535	2	0	0	0
AG-676-P03	prochlorococcus	proHL1	sag	5	34.7	-158	GRADIENT	6	4/24/16	n_pacific	GRADIENT	0	18	730	228	59.09	0.44	100	979831	0	64	64	26441	26441	15309	15309	71497	71497	31.4	2.31	90.06	11	1136	269	460	1	0	0	0
AG-676-P15-1	prochlorococcus	proHL1	sag	5	34.7	-158	GRADIENT	6	4/24/16	n_pacific	GRADIENT	0	18	730	228	71.79	0	0	1147413	0	82	82	30071	30071	13992	13992	103675	103675	31	2.52	89.57	11	1383	248	482	0	0	0	0
AG-676-P23	prochlorococcus	proHL1	sag	5	34.7	-158	GRADIENT	6	4/24/16	n_pacific	GRADIENT	0	18	730	228	69.84	0	0	1178708	0	63	63	34950	34950	18709	18709	67396	67396	31.1	2.1	89.27	11	1421	207	523	0	0	0	0
AG-679-K21	prochlorococcus	proHL1	sag	60	34.7	-158	GRADIENT	6	4/24/16	n_pacific	GRADIENT	0	18	730	228	67.93	0.05	0	1072530	0	74	74	28376	28376	14493	14493	99597	99597	31	4.29	89.74	11	1227	237	492	1	0	0	0
AG-679-M10	prochlorococcus	proHL1	sag	60	34.7	-158	GRADIENT	6	4/24/16	n_pacific	GRADIENT	0	18	730	228	65.16	0	0	1007628	0	42	42	82124	82124	23991	23991	162867	162867	31.1	3.71	89.47	11	1201	239	491	0	0	0	0
AG-679-M23	prochlorococcus	proHL1	sag	60	34.7	-158	GRADIENT	6	4/24/16	n_pacific	GRADIENT	0	18	730	228	100	0	0	1645990	0	16	16	205765	205765	102874	102874	422116	422116	30.8	2.63	89.88	11	1907	0	730	0	0	0	0
AG-679-N02	prochlorococcus	proHL1	sag	60	34.7	-158	GRADIENT	6	4/24/16	n_pacific	GRADIENT	0	18	730	228	62.08	0	0	1061470	0	58	58	33775	33775	18301	18301	96629	96629	31	2.88	90.43	11	1254	254	476	0	0	0	0
AG-679-N20	prochlorococcus	proHL1	sag	60	34.7	-158	GRADIENT	6	4/24/16	n_pacific	GRADIENT	0	18	730	228	76.48	0	0	1313915	0	68	68	33058	33058	19322	19322	83530	83530	31	2.1	89.91	11	1549	155	575	0	0	0	0
AG-679-N22	prochlorococcus	proHL1	sag	60	34.7	-158	GRADIENT	6	4/24/16	n_pacific	GRADIENT	0	18	730	228	68.09	0.19	100	1086122	0	75	75	26388	26388	14481	14481	83017	83017	31.1	4.45	90.62	11	1257	225	501	4	0	0	0
AG-679-O20	prochlorococcus	proHL1	sag	60	34.7	-158	GRADIENT	6	4/24/16	n_pacific	GRADIENT	0	18	730	228	56.01	2.68	73.68	929447	0	68	68	24253	24253	13668	13668	68538	68538	31.3	2.17	90.22	11	1097	309	402	19	0	0	0
AG-679-P15	prochlorococcus	proHL1	sag	60	34.7	-158	GRADIENT	6	4/24/16	n_pacific	GRADIENT	0	18	730	228	66.37	1.16	66.67	1077894	0	68	68	27230	27230	15851	15851	53017	53017	31	2.27	90.56	11	1245	203	521	6	0	0	0
AG-679-P16	prochlorococcus	proHL1	sag	60	34.7	-158	GRADIENT	6	4/24/16	n_pacific	GRADIENT	0	18	730	228	48.43	0.88	100	828295	0	68	68	20670	20670	12180	12180	61752	61752	31.1	2.18	90.08	11	982	340	385	5	0	0	0
AG-683-K15	prochlorococcus	proHL1	sag	5	36.57	-158	GRADIENT	9	4/27/16	n_pacific	GRADIENT	1	18	730	228	44.8	0	0	783804	0	41	41	40171	40171	19117	19117	136941	136941	31	2.67	87.94	11	924	412	318	0	0	0	0
AG-683-O15	prochlorococcus	proHL1	sag	5	36.57	-158	GRADIENT	9	4/27/16	n_pacific	GRADIENT	0	18	730	228	59.32	0.11	100	1063781	0	48	48	39647	39647	22162	22162	143747	143747	31	3.86	90.15	11	1270	259	470	1	0	0	0
AG-686-J21	prochlorococcus	proHL1	sag	65	36.57	-158	GRADIENT	9	4/27/16	n_pacific	GRADIENT	1	18	730	228	94.41	0	0	1577724	0	32	32	115573	115573	49303	49303	292448	292448	30.9	1.84	90.14	11	1797	39	691	0	0	0	0
AG-686-L16	prochlorococcus	proHL1	sag	65	36.57	-158	GRADIENT	9	4/27/16	n_pacific	GRADIENT	0	18	730	228	40.41	0.28	75	644424	0	56	56	20871	20871	11507	11507	90493	90493	31.8	2.35	90.39	11	737	371	355	4	0	0	0
AG-686-M10	prochlorococcus	proHL1	sag	65	36.57	-158	GRADIENT	9	4/27/16	n_pacific	GRADIENT	0	18	730	228	65.93	0.29	66.67	1172240	0	97	97	16832	16832	12084	12084	66653	66653	30.8	2.39	90.14	11	1399	219	508	3	0	0	0
AG-686-O05	prochlorococcus	proHL1	sag	65	36.57	-158	GRADIENT	9	4/27/16	n_pacific	GRADIENT	0	18	730	228	64.28	0.11	50	1088813	0	83	83	20688	20688	13118	13118	64666	64666	30.8	2.55	88.6	11	1362	274	454	2	0	0	0
AG-686-P08	prochlorococcus	proHL1	sag	65	36.57	-158	GRADIENT	9	4/27/16	n_pacific	GRADIENT	0	18	730	228	59.97	0	0	941462	0	79	79	18926	18926	11917	11917	55538	55538	30.9	2.32	89.52	11	1139	302	428	0	0	0	0
AG-686-P16	prochlorococcus	proHL1	sag	65	36.57	-158	GRADIENT	9	4/27/16	n_pacific	GRADIENT	0	18	730	228	50.33	0.41	100	832312	0	87	87	14299	14299	9566	9566	35605	35605	31.2	2.73	89.52	11	1043	362	364	4	0	0	0
AG-442-D10	prochlorococcus	proHL1	sag	20	-34.98	16.02	GA10(L1)	9	11/10/10	s_atlantic	GA10	0	18	730	228	96.77	0.29	0	1568271	0	30	30	126138	126138	52275	52275	191296	191296	30.8	2.15	90.52	11	1807	23	705	2	0	0	0
AG-442-M23	prochlorococcus	proHL1	sag	20	-34.98	16.02	GA10(L1)	9	11/10/10	s_atlantic	GA10	0	18	730	228	96.23	0.58	50	1634928	0	27	27	188955	188955	60552	60552	545159	545159	30.7	2.32	89.93	11	1810	25	703	2	0	0	0
AG-442-N17	prochlorococcus	proHL1	sag	20	-34.98	16.02	GA10(L1)	9	11/10/10	s_atlantic	GA10	0	18	730	228	72.16	0	0	1180721	0	34	34	78721	78721	34727	34727	240511	240511	30.8	2.39	90.31	11	1334	195	535	0	0	0	0
EQPAC1	prochlorococcus	proHL1	isolate	30	0	-180				s_pacific		0	18	730	228	100	0	0	1653510	1	7	7	328627	328627	236215	236215	554753	554753	30.8	1.66	90.09	11	1921	0	730	0	0	0	0
AG-311-I09	prochlorococcus	proHL1	sag	20	-20.08	-70.8	BIGRAPA	1	11/19/10	s_pacific	BIGRAPA	0	18	730	228	39.43	0	0	697970	0	52	52	22653	22653	13422	13422	62937	62937	30.5	2.6	90	11	794	433	297	0	0	0	0
AG-311-J05	prochlorococcus	proHL1	sag	20	-20.08	-70.8	BIGRAPA	1	11/19/10	s_pacific	BIGRAPA	0	18	730	228	36.72	0.29	100	623148	0	48	48	21371	21371	12982	12982	41523	41523	30.2	2.53	91.28	11	737	470	258	2	0	0	0
AG-311-M23	prochlorococcus	proHL1	sag	20	-20.08	-70.8	BIGRAPA	1	11/19/10	s_pacific	BIGRAPA	0	18	730	228	42.3	0.12	50	651213	0	43	43	28009	28009	15144	15144	94182	94182	31.3	2.86	89.2	11	758	414	314	2	0	0	0
AG-321-D23	prochlorococcus	proHL1	sag	14	-23.46	-88.77	BIGRAPA	4	11/29/10	s_pacific	BIGRAPA	0	18	730	228	75.32	0.33	0	1201571	0	72	72	30029	30029	16688	16688	78148	78148	31	2.15	89.92	11	1445	205	523	2	0	0	0
AG-321-E21	prochlorococcus	proHL1	sag	14	-23.46	-88.77	BIGRAPA	4	11/29/10	s_pacific	BIGRAPA	1	18	730	228	70.98	0	0	1314750	0	48	48	57896	57896	27390	27390	170214	170214	30.6	2.8	88.11	11	1547	233	497	0	0	0	0
AG-321-F02	prochlorococcus	proHL1	sag	14	-23.46	-88.77	BIGRAPA	4	11/29/10	s_pacific	BIGRAPA	0	18	730	228	32.5	0.11	100	581146	0	53	53	17495	17495	10965	10965	45820	45820	30.6	2.15	88.58	11	702	485	244	1	0	0	0
AG-321-G20	prochlorococcus	proHL1	sag	14	-23.46	-88.77	BIGRAPA	4	11/29/10	s_pacific	BIGRAPA	0	18	730	228	36.26	0.66	100	566495	0	47	47	26018	26018	12053	12053	58090	58090	31.1	3.33	90.2	11	646	460	266	4	0	0	0
AG-321-G21	prochlorococcus	proHL1	sag	14	-23.46	-88.77	BIGRAPA	4	11/29/10	s_pacific	BIGRAPA	1	18	730	228	24.22	0.37	100	391011	0	51	51	10152	10152	7666	7666	25729	25729	30.8	2.17	90.98	11	474	564	163	3	0	0	0
AG-321-M21	prochlorococcus	proHL1	sag	14	-23.46	-88.77	BIGRAPA	4	11/29/10	s_pacific	BIGRAPA	1	18	730	228	49.78	0.44	0	827358	0	66	66	22395	22395	12535	12535	90907	90907	31.1	2.85	89.68	11	977	341	388	1	0	0	0
AG-321-P21	prochlorococcus	proHL1	sag	14	-23.46	-88.77	BIGRAPA	4	11/29/10	s_pacific	BIGRAPA	1	18	730	228	23.77	0.66	100	377088	0	48	48	9577	9577	7856	7856	21162	21162	31.3	2.28	91.23	11	450	558	167	5	0	0	0
AG-335-A05	prochlorococcus	proHL1	sag	14	-26.25	-103.96	BIGRAPA	7	12/8/10	s_pacific	BIGRAPA	0	18	730	228	53.95	1.36	100	857646	0	53	53	30716	30716	16182	16182	121449	121449	30.9	3.48	90.85	11	1017	360	365	5	0	0	0
AG-335-B08	prochlorococcus	proHL1	sag	14	-26.25	-103.96	BIGRAPA	7	12/8/10	s_pacific	BIGRAPA	0	18	730	228	38.96	0.07	0	584135	0	45	45	22334	22334	12980	12980	72196	72196	31.3	2.15	92.02	11	679	413	316	1	0	0	0
AG-335-D02	prochlorococcus	proHL1	sag	14	-26.25	-103.96	BIGRAPA	7	12/8/10	s_pacific	BIGRAPA	0	18	730	228	42.69	0.04	0	674981	0	62	62	17853	17853	10886	10886	44562	44562	31.2	2.1	90.81	11	822	395	334	1	0	0	0
AG-335-D04	prochlorococcus	proHL1	sag	14	-26.25	-103.96	BIGRAPA	7	12/8/10	s_pacific	BIGRAPA	0	18	730	228	34.73	0	0	500327	0	46	46	20841	20841	10876	10876	73061	73061	31.2	2.83	91.32	11	596	492	238	0	0	0	0
AG-335-E22	prochlorococcus	proHL1	sag	14	-26.25	-103.96	BIGRAPA	7	12/8/10	s_pacific	BIGRAPA	1	18	730	228	47.12	0	0	814114	0	48	48	39129	39129	16960	16960	82271	82271	31.2	2.08	89.74	11	947	364	366	0	0	0	0
AG-335-I21	prochlorococcus	proHL1	sag	14	-26.25	-103.96	BIGRAPA	7	12/8/10	s_pacific	BIGRAPA	0	18	730	228	58.09	0.33	0	936124	0	51	51	28320	28320	18355	18355	70311	70311	31	3.15	91.13	11	1093	310	418	2	0	0	0
AG-335-J19	prochlorococcus	proHL1	sag	14	-26.25	-103.96	BIGRAPA	7	12/8/10	s_pacific	BIGRAPA	0	18	730	228	50	0	0	821743	0	52	52	34430	34430	15802	15802	131653	131653	31.2	3.87	90.76	11	942	376	354	0	0	0	0
AG-335-L06	prochlorococcus	proHL1	sag	14	-26.25	-103.96	BIGRAPA	7	12/8/10	s_pacific	BIGRAPA	0	18	730	228	49.2	0	0	739995	0	46	46	39234	39234	16086	16086	84584	84584	31.7	2.79	90	11	856	364	366	0	0	0	0
AG-335-N20	prochlorococcus	proHL1	sag	14	-26.25	-103.96	BIGRAPA	7	12/8/10	s_pacific	BIGRAPA	0	18	730	228	36.42	0	0	610661	0	35	35	39196	39196	17447	17447	54938	54938	30.9	1.86	90.02	11	741	434	296	0	0	0	0
AG-335-O19	prochlorococcus	proHL1	sag	14	-26.25	-103.96	BIGRAPA	7	12/8/10	s_pacific	BIGRAPA	0	18	730	228	60.03	0	0	949962	0	51	51	33507	33507	18626	18626	133813	133813	30.7	1.74	91.34	11	1155	294	436	0	0	0	0
AG-335-P02	prochlorococcus	proHL1	sag	14	-26.25	-103.96	BIGRAPA	7	12/8/10	s_pacific	BIGRAPA	0	18	730	228	36.78	0	0	692929	0	47	47	27418	27418	14743	14743	62986	62986	30.6	1.81	89.84	11	832	479	251	0	0	0	0
AG-455-O05	prochlorococcus	proHL1	sag	50	-30	174	GP13(L1)	22	5/24/11	s_pacific	GP13	0	18	730	228	48.53	0.65	80	769298	0	82	82	13454	13454	9381	9381	45872	45872	31	3.31	90.15	11	888	351	374	5	0	0	0
AG-459-A01	prochlorococcus	proHL1	sag	75	-32.5	-170	GP13(L1)	38	5/31/11	s_pacific	GP13	0	18	730	228	48.48	0.58	50	773886	0	88	88	12504	12504	8794	8794	43580	43580	30.9	2.68	89.02	11	972	414	314	2	0	0	0
AG-459-A09	prochlorococcus	proHL1	sag	75	-32.5	-170	GP13(L1)	38	5/31/11	s_pacific	GP13	0	18	730	228	82.99	0	0	1511323	0	49	49	51041	51041	30843	30843	172684	172684	30.7	2.3	89.14	11	1770	121	609	0	0	0	0
AG-459-J20	prochlorococcus	proHL1	sag	75	-32.5	-170	GP13(L1)	38	5/31/11	s_pacific	GP13	0	18	730	228	46.14	0	0	810859	0	56	56	23435	23435	14479	14479	80679	80679	30.9	2.55	90.14	11	935	382	348	0	0	0	0
AG-459-M13	prochlorococcus	proHL1	sag	75	-32.5	-170	GP13(L1)	38	5/31/11	s_pacific	GP13	0	18	730	228	59.62	0	0	1022042	0	56	56	30771	30771	18250	18250	141177	141177	30.5	3.01	89.37	11	1196	305	425	0	0	0	0
AG-459-O03	prochlorococcus	proHL1	sag	75	-32.5	-170	GP13(L1)	38	5/31/11	s_pacific	GP13	0	18	730	228	68.73	0	0	1196887	0	42	42	68467	68467	28497	28497	141212	141212	30.7	2.49	89.96	11	1376	210	520	0	0	0	0
AG-459-P02	prochlorococcus	proHL1	sag	75	-32.5	-170	GP13(L1)	38	5/31/11	s_pacific	GP13	0	18	730	228	59.58	0	0	997800	0	49	49	68846	68846	20363	20363	187369	187369	30.7	2.51	89.51	11	1250	290	440	0	0	0	0
AG-459-P16	prochlorococcus	proHL1	sag	75	-32.5	-170	GP13(L1)	38	5/31/11	s_pacific	GP13	0	18	730	228	59.46	1.36	100	961696	0	56	56	25528	25528	17173	17173	54425	54425	30.8	1.98	90	11	1166	321	402	7	0	0	0
AG-459-P19	prochlorococcus	proHL1	sag	75	-32.5	-170	GP13(L1)	38	5/31/11	s_pacific	GP13	0	18	730	228	39.82	0.09	100	642712	0	69	69	12046	12046	9314	9314	35035	35035	31.1	3.16	90.37	11	785	440	289	1	0	0	0
AG-469-F15	prochlorococcus	proHL1	sag	100	-32.5	-154	GP13(L2)	GT19	6/20/11	s_pacific	GP13	0	18	730	228	35.3	0	0	642928	0	60	60	13248	13248	10715	10715	46157	46157	31.4	2.87	89.11	11	788	452	278	0	0	0	0
AG-469-F22	prochlorococcus	proHL1	sag	100	-32.5	-154	GP13(L2)	GT19	6/20/11	s_pacific	GP13	1	18	730	228	60.7	0	0	1107030	0	80	80	22474	22474	13837	13837	75304	75304	31.2	2.2	87.75	11	1345	312	418	0	0	0	0
AG-469-N22	prochlorococcus	proHL1	sag	100	-32.5	-154	GP13(L2)	GT19	6/20/11	s_pacific	GP13	0	18	730	228	43.38	0	0	769192	0	71	71	16865	16865	10833	10833	49987	49987	31.1	3.32	88.81	11	937	398	332	0	0	0	0
MIT9515	prochlorococcus	proHL1	isolate	15	-5.11667	-107.01667			6/1/95			0	18	730	228	100	0	0	1704176	0	1	1	1704176	1704176	1704176	1704176	1704176	1704176	30.8	0	88.69	11	1901	0	730	0	0	0	0
MIT9301	prochlorococcus	proHL2	isolate	90	34.751389	-66.183611			7/10/93	n_atlantic		0	18	730	228	100	0	0	1641879	0	1	1	1641879	1641879	1641879	1641879	1641879	1641879	31.3	0	90.74	11	1875	0	730	0	0	0	0
MIT9302	prochlorococcus	proHL2	isolate	100	34.75	-66.185			7/15/93	n_atlantic		0	18	730	228	100	0.09	100	1742512	0	15	15	242124	242124	116167	116167	383692	383692	31.1	1.74	89.43	11	1980	0	729	1	0	0	0
MIT9311	prochlorococcus	proHL2	isolate	135	37.513333	-64.24			7/17/93	n_atlantic		0	18	730	228	100	0.09	100	1708616	0	15	15	189094	189094	113907	113907	395981	395981	31.2	1.62	90.09	11	1940	0	729	1	0	0	0
MIT9312	prochlorococcus	proHL2	isolate	135	37.513333	-68.24			7/17/93	n_atlantic		0	18	730	228	100	0	0	1709204	0	1	1	1709204	1709204	1709204	1709204	1709204	1709204	31.2	0	90.12	11	1922	0	730	0	0	0	0
MIT9314	prochlorococcus	proHL2	isolate	180	37.513333	-64.24			7/17/93	n_atlantic		0	18	730	228	100	0	0	1689394	1	15	15	221824	221824	112626	112626	393049	393049	31.2	1.07	90.53	11	1953	0	730	0	0	0	0
MIT9401	prochlorococcus	proHL2	isolate	0	35.083333	-70.066666			5/1/94	n_atlantic		0	18	730	228	100	0.58	83.33	1666808	0	17	17	110519	110519	98047	98047	474619	474619	31.2	2.71	90.69	11	1925	0	724	6	0	0	0
AG-355-A02	prochlorococcus	proHL2	sag	10	31.07	-64.17	BATS248	BATS	7/14/09	n_atlantic	BATS	0	18	730	228	51.25	0.11	0	767113	0	23	23	80062	80062	33352	33352	133159	133159	31.6	2.52	91.89	11	868	361	368	1	0	0	0
AG-355-A09	prochlorococcus	proHL2	sag	10	31.07	-64.17	BATS248	BATS	7/14/09	n_atlantic	BATS	0	18	730	228	92.21	0	0	1516538	0	28	28	106558	106558	54162	54162	178123	178123	31.3	1.81	90.76	11	1727	83	647	0	0	0	0
AG-355-A18	prochlorococcus	proHL2	sag	10	31.07	-64.17	BATS248	BATS	7/14/09	n_atlantic	BATS	0	18	730	228	69.16	0.14	100	1180834	0	33	33	64299	64299	35782	35782	172759	172759	31.2	2.19	90.32	11	1425	224	504	2	0	0	0
AG-355-B18	prochlorococcus	proHL2	sag	10	31.07	-64.17	BATS248	BATS	7/14/09	n_atlantic	BATS	0	18	730	228	96.33	0	0	1581931	0	24	24	124130	124130	65913	65913	274390	274390	31.5	2.04	90.53	11	1853	28	702	0	0	0	0
AG-355-B23	prochlorococcus	proHL2	sag	10	31.07	-64.17	BATS248	BATS	7/14/09	n_atlantic	BATS	0	18	730	228	79.81	0	0	1298614	0	52	52	58808	58808	24973	24973	182025	182025	31.5	2.29	91.52	11	1536	152	578	0	0	0	0
AG-355-G23	prochlorococcus	proHL2	sag	10	31.07	-64.17	BATS248	BATS	7/14/09	n_atlantic	BATS	0	18	730	228	81.56	0.04	100	1354738	0	61	61	52628	52628	22208	22208	157376	157376	31.4	2.94	90.91	11	1639	120	609	1	0	0	0
